"","genes","p.value","FDR","perc_enrich","size","MaxZscore","DAM"
"ACADL","ACADL",1,1,0,36,0,""
"ACADS","ACADS",1,1,0,41,0,""
"ACADM","ACADM",1,1,0,42,0,""
"UCK1","UCK1",1,1,0,24,0,""
"NME4","NME4",1,1,0,23,0,""
"RRM1","RRM1",1,1,0,17,0,""
"NME1","NME1",1,1,0,24,0,""
"NME7","NME7",1,1,0,23,0,""
"RRM2","RRM2",1,1,0,13,0,""
"NME2","NME2",1,1,0,23,0,""
"NME3","NME3",1,1,0,23,0,""
"NME6","NME6",1,1,0,23,0,""
"NDUFB10","NDUFB10",1,1,0,1,0,""
"MT-ND1","MT-ND1",1,1,0,17,0,""
"NDUFB1","NDUFB1",1,1,0,8,0,""
"ENPP1","ENPP1",1,1,0,24,0,""
"NDUFS2","NDUFS2",1,1,0,11,0,""
"SDHC","SDHC",1,1,0,9,0,""
"PIPOX","PIPOX",1,1,0,11,0,""
"PAOX","PAOX",0.295500791315639,1,0.0833333333333333,12,2.06579273986552,"HMDB0012880"
"NDUFA12","NDUFA12",1,1,0,8,0,""
"CYB5R3","CYB5R3",1,1,0,5,0,""
"AOX1","AOX1",0.679798987229503,1,0.0487804878048781,41,2.22319348904583,"HMDB0001545, HMDB0001545, HMDB0000017"
"NDUFA1","NDUFA1",1,1,0,8,0,""
"NDUFA4L2","NDUFA4L2",1,1,0,8,0,""
"NDUFA3","NDUFA3",1,1,0,8,0,""
"NDUFA8","NDUFA8",1,1,0,8,0,""
"NDUFA4","NDUFA4",1,1,0,8,0,""
"MT-ND4L","MT-ND4L",1,1,0,11,0,""
"NDUFA11","NDUFA11",1,1,0,8,0,""
"TXNRD1","TXNRD1",1,1,0,13,0,""
"SC5DL","SC5DL",1,1,0,17,0,""
