"","x"
"1705",10
"1706",10
"1707",1
"1708",0
"1709",0
"1710",0
"1711",0
"1712",0
"1713",24
"1714",0
"1715",0
"1716",0
"1717",0
"1718",0
"1719",4
"1720",0
"1721",0
"1722",0
"1723",0
"1724",0
"1725",0
"1726",0
"1727",4
"1728",0
"1729",0
"1730",0
"1731",0
"1732",0
"1733",0
"1734",0
"1735",0
"1736",0
"1737",9
"1738",1
"1739",3
"1740",0
"1741",0
"1742",10
"1743",10
"1744",0
"1745",2
"1746",1
"1747",8
"1748",0
"1749",0
"1750",0
"1751",0
"1752",0
"1753",2
"1754",4
"1755",7
"1756",2
"1757",0
"1758",0
"1759",0
"1760",0
"1761",0
"1762",3
"1763",0
"1764",9
"1765",0
"1766",10
"1767",2
"1768",7
"1769",0
"1770",5
"1771",0
"1772",0
"1773",3
"1774",4
"1775",4
"1776",3
"1777",0
"1778",0
"1779",0
"1780",2
"1781",1
"1782",1
"1783",1
"1784",0
"1785",0
"1786",20
"1787",18
"1788",0
"1789",1
"1790",1
"1791",1
"1792",2
"1793",0
"1794",0
"1795",0
"1796",0
"1797",0
"1798",20
"1799",0
"1800",7
"1801",0
"1802",0
"1803",0
"1804",0
"1805",3
"1806",5
"1807",0
"1808",6
"1809",0
"1810",1
"1811",0
"1812",13
"1813",0
"1814",25
"1815",3
"1816",1
"1817",1
"1818",0
"1819",0
"1820",3
"1821",1
"1822",1
"1823",13
"1824",3
"1825",0
"1826",1
"1827",0
"1828",0
"1829",0
"1830",2
"1831",5
"1832",21
"1833",0
"1834",0
"1835",3
"1836",0
"1837",0
"1838",0
"1839",0
"1840",1
"1841",1
"1842",0
"1843",0
"1844",4
"1845",1
"1846",1
"1847",1
"1848",1
"1849",0
"1850",0
"1851",0
"1852",0
"1853",0
"1854",1
"1855",1
"1856",1
"1857",3
"1858",0
"1859",10
"1860",1
"1861",6
"1862",1
"1863",21
"1864",0
"1865",10
"1866",1
"1867",1
"1868",5
"1869",0
"1870",0
"1871",0
"1872",0
"1873",2
"1874",0
"1875",0
"1876",0
"1877",1
"1878",0
"1879",1
"1880",11
"1881",12
"1882",0
"1883",0
"1884",2
"1885",0
"1886",0
"1887",27
"1888",0
"1889",0
"1890",0
"1891",0
"1892",7
"1893",0
"1894",1
"1895",0
"1896",5
"1897",1
"1898",0
"1899",1
"1900",0
"1901",0
"1902",4
"1903",0
"1904",14
"1905",1
"1906",7
"1907",4
"1908",5
"1909",0
"1910",1
"1911",10
"1912",1
"1913",1
"1914",4
"1915",28
"1916",1
"1917",10
"1918",1
"1919",0
"1920",0
"1921",0
"1922",1
"1923",0
"1924",0
"1925",4
"1926",0
"1927",0
"1928",2
"1929",1
"1930",0
"1931",2
"1932",1
"1933",1
"1934",2
"1935",1
"1936",5
"1937",0
"1938",1
"1939",1
"1940",4
"1941",1
"1942",1
"1943",0
"1944",0
"1945",0
"1946",0
"1947",5
"1948",7
"1949",0
"1950",3
"1951",1
"1952",0
"1953",11
"1954",1
"1955",0
"1956",2
"1957",0
"1958",6
"1959",1
"1960",0
"1961",1
"1962",0
"1963",0
"1964",0
"1965",2
"1966",1
"1967",1
"1968",0
"1969",0
"1970",0
"1971",0
"1972",1
"1973",1
"1974",0
"1975",0
"1976",0
"1977",0
"1978",1
"1979",0
"1980",6
"1981",3
"1982",4
"1983",0
"1984",4
"1985",4
"1986",7
"1987",2
"1988",3
"1989",2
"1990",2
"1991",0
"1992",1
"1993",3
"1994",0
"1995",0
"1996",0
"1997",2
"1998",0
"1999",0
"2000",0
"2001",0
"2002",5
"2003",10
"2004",2
"2005",31
"2006",5
"2007",0
"2008",0
"2009",0
"2010",0
"2011",4
"2012",10
"2013",0
"2014",0
"2015",4
"2016",0
"2017",7
"2018",3
"2019",5
"2020",0
"2021",0
"2022",6
"2023",20
"2024",0
"2025",0
"2026",0
"2027",3
"2028",3
"2029",0
"2030",0
"2031",0
"2032",1
"2033",0
"2034",5
"2035",1
"2036",8
"2037",0
"2038",1
"2039",4
"2040",0
"2041",7
"2042",0
"2043",0
"2044",0
"2045",0
"2046",5
"2047",0
"2048",0
"2049",1
"2050",0
"2051",0
"2052",1
"2053",10
"2054",0
"2055",1
"2056",2
"2057",0
"2058",0
"2059",0
"2060",0
"2061",14
"2062",6
"2063",11
"2064",1
"2065",0
"2066",3
"2067",0
"2068",2
"2069",0
"2070",0
"2071",15
"2072",1
"2073",1
"2074",1
"2075",0
"2076",1
"2077",1
"2078",1
"2079",1
"2080",1
"2081",4
"2082",1
"2083",1
"2084",0
"2085",0
"2086",1
"2087",1
"2088",1
"2089",1
"2090",1
"2091",1
"2092",4
"2093",1
"2094",0
"2095",0
"2096",0
"2097",2
"2098",0
"2099",0
"2100",0
"2101",0
"2102",0
"2103",78
"2104",1
"2105",0
"2106",0
"2107",0
"2108",0
"2109",6
"2110",0
"2111",3
"2112",1
"2113",1
"2114",1
"2115",3
"2116",1
"2117",0
"2118",1
"2119",0
"2120",1
"2121",0
"2122",3
"2123",0
"2124",0
"2125",2
"2126",10
"2127",0
"2128",1
"2129",0
"2130",18
"2131",0
"2132",9
"2133",2
"2134",1
"2135",0
"2136",0
"2137",0
"2138",0
"2139",0
"2140",0
"2141",0
"2142",1
"2143",0
"2144",0
"2145",1
"2146",0
"2147",0
"2148",9
"2149",0
"2150",14
"2151",10
"2152",0
"2153",10
"2154",0
"2155",2
"2156",0
"2157",8
"2158",3
"2159",1
"2160",0
"2161",1
"2162",0
"2163",0
"2164",1
"2165",13
"2166",0
"2167",0
"2168",4
"2169",0
"2170",2
"2171",1
"2172",3
"2173",0
"2174",1
"2175",2
"2176",1
"2177",0
"2178",1
"2179",1
"2180",3
"2181",1
"2182",0
"2183",11
"2184",7
"2185",0
"2186",0
"2187",3
"2188",1
"2189",0
"2190",4
"2191",0
"2192",7
"2193",4
"2194",0
"2195",0
"2196",0
"2197",0
"2198",0
"2199",0
"2200",0
"2201",0
"2202",0
"2203",0
"2204",0
"2205",0
"2206",0
"2207",0
"2208",0
"2209",0
"2210",0
"2211",0
"2212",0
"2213",0
"2214",0
"2215",2
"2216",0
"2217",0
"2218",0
"2219",0
"2220",0
"2221",0
"2222",0
"2223",0
"2224",0
"2225",0
"2226",0
"2227",1
"2228",0
"2229",5
"2230",1
"2231",1
"2232",2
"2233",4
"2234",5
"2235",2
"2236",0
"2237",0
"2238",3
"2239",1
"2240",0
"2241",0
"2242",0
"2243",0
"2244",0
"2245",0
"2246",1
"2247",9
"2248",1
"2249",0
"2250",0
"2251",2
"2252",0
"2253",1
"2254",0
"2255",0
"2256",0
"2257",0
"2258",3
"2259",0
"2260",0
"2261",1
"2262",4
"2263",0
"2264",1
"2265",13
"2266",0
"2267",0
"2268",13
"2269",0
"2270",3
"2271",1
"2272",0
"2273",0
"2274",0
"2275",0
"2276",0
"2277",0
"2278",0
"2279",5
"2280",1
"2281",1
"2282",0
"2283",0
"2284",0
"2285",0
"2286",0
"2287",0
"2288",2
"2289",1
"2290",0
"2291",4
"2292",4
"2293",11
"2294",0
"2295",0
"2296",4
"2297",0
"2298",0
"2299",0
"2300",0
"2301",4
"2302",4
"2303",4
"2304",4
"2305",0
"2306",4
"2307",0
"2308",0
"2309",4
"2310",4
"2311",4
"2312",4
"2313",0
"2314",11
"2315",4
"2316",11
"2317",2
"2318",0
"2319",1
"2320",4
"2321",0
"2322",0
"2323",11
"2324",0
"2325",9
"2326",7
"2327",2
"2328",0
"2329",23
"2330",0
"2331",3
"2332",3
"2333",23
"2334",3
"2335",3
"2336",0
"2337",0
"2338",1
"2339",0
"2340",0
"2341",0
"2342",2
"2343",0
"2344",0
"2345",0
"2346",0
"2347",23
"2348",6
"2349",0
"2350",0
"2351",4
"2352",10
"2353",27
"2354",0
"2355",0
"2356",0
"2357",4
"2358",0
"2359",0
"2360",0
"2361",7
"2362",0
"2363",5
"2364",1
"2365",0
"2366",0
"2367",3
"2368",0
"2369",2
"2370",7
"2371",0
"2372",1
"2373",0
"2374",0
"2375",0
"2376",5
"2377",5
"2378",0
"2379",0
"2380",0
"2381",1
"2382",3
"2383",0
"2384",0
"2385",7
"2386",3
"2387",0
"2388",1
"2389",3
"2390",8
"2391",0
"2392",1
"2393",2
"2394",5
"2395",2
"2396",8
"2397",10
"2398",8
"2399",1
"2400",8
"2401",0
"2402",2
"2403",1
"2404",0
"2405",0
"2406",1
"2407",0
"2408",0
"2409",0
"2410",1
"2411",0
"2412",0
"2413",1
"2414",0
"2415",0
"2416",0
"2417",3
"2418",0
"2419",0
"2420",0
"2421",5
"2422",0
"2423",0
"2424",0
"2425",0
"2426",21
"2427",2
"2428",1
"2429",0
"2430",3
"2431",3
"2432",3
"2433",0
"2434",0
"2435",0
"2436",0
"2437",0
"2438",0
"2439",6
"2440",0
"2441",0
"2442",0
"2443",0
"2444",0
"2445",4
"2446",0
"2447",0
"2448",0
"2449",0
"2450",0
"2451",0
"2452",0
"2453",0
"2454",1
"2455",1
"2456",0
"2457",0
"2458",0
"2459",0
"2460",1
"2461",7
"2462",0
"2463",0
"2464",5
"2465",7
"2466",2
"2467",0
"2468",0
"2469",2
"2470",2
"2471",2
"2472",1
"2473",0
"2474",2
"2475",0
"2476",0
"2477",10
"2478",2
"2479",3
"2480",0
"2481",0
"2482",0
"2483",7
"2484",4
"2485",2
"2486",8
"2487",13
"2488",1
"2489",0
"2490",1
"2491",0
"2492",3
"2493",0
"2494",0
"2495",1
