"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT15205",8085.173418,4418.205681,7380.550761,3036.784301,4742.860293,6373.674248,6613.239129,5212.267473,11108.39194,7203.239094,6533.382204
"FT15206",2544.98329,7299.163454,14105.7213,5472.278497,4283.840484,2410.48232,2220.796601,15686.96105,8849.622054,6818.875807,3335.143399
"FT15207",4548.347254,4644.651082,6215.240167,3132.207731,6631.88469,5354.774595,5077.990776,4329.670106,5622.555394,5154.652605,5516.800501
"FT15208",12902.3049,9855.126024,16079.41903,17669.0234,23859.53596,13697.22752,11866.98969,11029.63815,13801.68795,25037.24204,24810.09593
"FT15209",271393.344,142392.3644,139290.6378,242737.3114,247664.2528,145588.3757,201974.4842,299492.4963,108124.4535,231669.2355,121938.3868
"FT15210",14122.90644,5326.352885,11708.15573,5596.408193,26474.27127,3727.246837,2653.408424,16277.34948,4395.266391,50463.18357,33890.26483
"FT15211",183945.6108,230740.5949,200403.4973,237231.9107,231631.5668,208542.9766,244938.4125,999070.7931,218552.4627,292763.4614,214509.7281
"FT15212",44293.14909,14833.46896,17886.90085,46709.7742,20067.70406,36057.57356,43451.56118,41888.54647,27198.99846,73212.47867,17894.89242
"FT15213",2788.803448,4083.589803,3526.030719,2688.005013,1988.816485,3604.975801,2674.2936,6317.610314,8224.889699,4890.038047,3532.440246
"FT15214",6060.109488,3957.652426,8524.817924,23052.53559,30308.48021,4424.903326,1009.3911,7926.235071,2538.597715,15566.18169,23166.79614
"FT15215",2283.855829,3224.309795,3847.728462,2094.81514,3102.533206,3806.078889,3222.86199,2431.50388,3056.535334,3006.927978,2944.519766
"FT15216",3684.045175,3932.78349,5278.939141,6195.233755,9377.195312,4613.882959,4109.388116,4772.476561,4639.996329,9954.762598,7487.014988
"FT15217",2799.722176,4727.939446,3824.601194,6002.707835,3712.359888,3927.430888,2477.287688,7037.7908,2619.517997,7239.83291,3684.334158
"FT15218",1120.90879,2336.644977,949.6105658,2362.527898,3717.351056,465.9967365,174.2460202,4122.967117,148.5231629,5988.113351,2660.733577
"FT15219",8033.833824,3843.928724,8581.082373,7465.755621,10719.47643,4108.939187,2775.173759,7779.978508,3426.911513,13444.17009,8673.747374
"FT15220",438.8865415,1733.403311,481.9571801,NA,2579.637297,3458.020358,1550.769805,2038.401295,838.5904547,394.6355753,2847.19465
"FT15221",7838.197358,5106.865194,7630.242962,24473.36182,23791.6268,7950.152722,5047.760412,16650.12333,4894.6664,25078.00639,23547.82531
"FT15222",13612.81462,8123.652452,6881.661306,9656.64619,10211.27202,12805.27494,10689.06807,9945.221411,10387.10235,10042.42832,15847.24853
"FT15223",25577.01654,30281.08955,28599.70195,66378.03061,13253.7284,21446.66719,36698.51216,52043.57386,25960.70991,68541.71735,31525.75179
"FT15224",14712.15316,14488.57107,14814.54617,16303.04262,17657.35722,20154.20404,16132.23319,15456.81467,18532.70649,15815.40243,31245.47138
"FT15225",10884.24121,10337.20623,10072.27779,10050.50085,10475.5201,11757.30449,13260.4473,14202.79135,13560.57136,13570.10145,12049.26356
"FT15226",7159.210517,7392.115931,7851.592976,7235.878041,9885.537311,11150.21316,10275.0187,11014.59667,11002.88157,10445.99303,10389.62935
"FT15227",72939.846,55928.63483,68021.1193,73718.11759,69182.32175,81665.33128,81092.71037,82906.66105,90238.37107,85356.21943,91752.67679
"FT15228",9079.218388,9384.669179,8983.254065,12211.8384,8460.461917,12331.11263,14158.78389,12927.38621,13914.78033,15080.34829,13866.82455
"FT15229",13591.04737,11422.8171,15811.82827,9090.966752,16454.38136,16150.38946,11777.32216,16927.89048,18749.01788,16161.41194,18908.52152
"FT15230",10971.07878,11888.90515,11551.8456,10624.95163,12094.37019,14870.99276,14067.82802,14960.10582,15505.63574,15040.45874,14899.83682
"FT15231",12046.35949,12608.69508,11646.17722,14340.40246,14940.18884,12028.8583,15228.82238,16338.62952,16677.63667,16792.3475,16471.24588
"FT15232",9312.148255,9584.803612,8611.359802,9271.289699,8637.226521,10134.09335,11405.51568,9817.537668,12156.93293,12974.61556,11592.79363
"FT15233",12277.35914,9216.053496,7335.535748,6031.82148,9731.570915,14020.44172,12457.56074,13097.58183,13808.15229,17706.76902,14414.11972
"FT15234",3230.458851,2452.957241,2543.843561,3381.369343,2747.351289,3843.701803,3279.569948,3763.161307,3452.846478,4360.941374,3066.034031
"FT15235",17248.54513,16616.97706,18958.47368,12851.37605,18141.43485,17673.89969,17560.00065,15213.91756,18256.10167,13415.76316,20346.14529
"FT15236",8691.135985,8278.125916,8181.951624,8819.724843,8976.067699,9516.783661,9753.903412,11244.09613,11062.91423,11136.94296,9751.861748
"FT15237",8407.192524,9041.724797,7458.878114,8925.82596,8813.165654,8902.891978,11045.53626,11758.33922,12704.46688,11163.99824,11334.44296
"FT15238",12610.71725,11765.17728,8386.301948,10692.18046,10079.18416,12894.17341,12059.15962,15435.48782,13240.15241,11158.66686,19419.22836
"FT15239",9597.816447,8248.37571,9530.64593,10857.43698,8881.384524,10381.59336,10283.46629,13080.29445,12974.44002,12056.78573,11285.7471
"FT15240",9635.359387,9245.821989,8594.106643,7172.739408,9210.298718,12205.10163,8751.102877,11061.92901,12332.39922,11413.17312,20847.34337
"FT15241",11355.23672,7874.702143,11842.49481,11473.20264,10020.32804,13148.87099,13312.80159,14423.20038,14634.51441,13357.38123,14849.94539
