"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT02837",213719.8485,189537.7224,201673.8898,168674.7582,184382.2754,123023.8549,101293.9573,108810.9389,106484.5605,98460.53182,131813.619
"FT02838",130097.4855,118174.3466,111662.3378,102788.3874,117167.8879,82792.66368,95067.50134,69444.43696,76044.92367,78447.16859,102205.6665
"FT02839",998472.1435,1039339.496,970085.8286,964651.5031,988582.3452,613511.1085,532753.7095,571224.6225,525945.8694,550982.3919,706426.6292
"FT02840",122429.0419,106362.2842,114608.6374,109227.4987,90002.42774,95586.62608,70642.3064,67579.34602,53491.67003,58535.21527,100350.0609
"FT02841",135430.1401,150866.1867,138371.7443,141200.1705,135927.6792,83932.1382,92560.47431,73505.44695,69938.85081,88245.7673,117815.1285
"FT02842",76555.03895,83276.11686,82024.05059,90359.06322,86150.65365,63884.31818,46341.77852,55889.37919,50683.5085,48793.56325,83133.32817
"FT02843",192437.7075,183128.4839,177611.6335,182521.2659,173228.2254,144235.3475,124723.6471,122907.935,127563.067,125626.3756,134811.5093
"FT02844",143702.6138,139870.7496,128600.6081,134807.8548,133074.2427,100237.1915,91197.76102,87901.03434,78543.65076,84028.91257,103633.4262
"FT02845",276532.5525,291498.7245,226795.7802,275632.1431,259607.6747,170300.2046,127471.3892,108967.4867,95249.33539,144474.5495,192761.1703
"FT02846",64350.54069,51003.43741,56981.91352,42831.11991,50674.81417,29331.61333,25681.08267,21745.64913,22260.25249,22816.17212,34887.42165
"FT02847",219803.0286,153159.3647,135067.0662,32813.65,99047.58757,180822.7505,397264.0319,94617.24726,579796.0339,20543.1077,204356.0618
"FT02848",15961.87925,19577.5715,20112.88082,3558.076707,12143.3026,17165.57005,2913.896385,1484.419817,10797.89046,6564.560597,16652.94396
"FT02849",2212.587906,713.7799895,6149.183472,1771.99277,4398.510592,3780.829967,5740.684664,2988.51841,8618.441744,2038.342613,1738.65939
"FT02850",752.0699641,993.5432516,2190.198364,132069.567,10345.99952,2288.001411,6271.391597,2962.678963,4605.690637,7220.383861,208815.7681
"FT02851",478.9680151,137.7498875,274.6880068,NA,NA,5046.889639,8059.728086,394.1989575,10332.73649,1533.612435,4502.149702
"FT02852",NA,3079.226199,5082.333158,3323.86233,208.479876,2363.304504,8709.123973,NA,NA,10780.49814,9699.771007
"FT02853",3282.624913,1417.820295,1476.039109,1167.382949,2857.448002,3442.853181,646.0524781,5820.620289,2992.291377,9643.339896,2662.266533
"FT02854",NA,NA,34231.85897,NA,NA,NA,NA,NA,165.3581421,NA,21045.12664
"FT02855",76230.86294,43120.85813,76127.29673,81546.21037,78323.84521,55941.54907,65882.8919,43227.70151,52970.97391,59363.79171,94527.44802
"FT02856",9075.208002,4692.345302,8343.563947,9793.122458,8756.411019,7388.628393,8017.234224,6517.688589,9032.445464,6670.324427,11857.15368
"FT02857",1483.489423,3316.846326,2110.456865,5055.079663,2080.98075,1046.465587,3190.743018,1454.171913,2552.726752,5084.6412,8170.175587
"FT02858",3265.600534,572.8154416,1710.515135,362.4936335,1549.690944,1183.693744,5379.130459,3110.391745,13572.51982,1843.710093,4578.729621
"FT02859",NA,NA,NA,NA,NA,107.1411255,120.6516368,112.8715391,NA,137.7800521,16663.14064
"FT02860",2333.472155,180.2199518,24876.04977,2768.90755,2122.739729,7522.29003,481.7186093,4240.127011,2261.519591,10835.7945,7300.498549
"FT02861",85923.38378,75208.24723,67416.72379,96949.48267,100033.0143,99930.02547,107070.6833,104395.2921,114480.4016,112134.4034,62288.72696
"FT02862",653.1473524,838.7060522,4225.146204,97.22722664,934.4437208,1399.487892,3451.413369,4835.341987,NA,2658.741186,4575.243421
"FT02863",1042.651869,1506.156594,1063.607,3123.10919,2133.502531,1347.297112,1083.425712,736.1468039,789.744909,1847.773937,3603.569536
"FT02864",12801.88162,12365.50208,13343.24725,11944.84922,14222.85785,10202.10026,3432.688136,11235.61114,9289.064887,9565.571381,10404.50326
"FT02865",4944.395623,4620.219094,3687.592263,4042.276133,4457.16465,4255.23786,3211.316051,3945.416629,4998.796322,3704.915236,5070.894133
"FT02866",3464.752171,10364.07136,610055.6733,536189.4014,478850.715,538972.6535,401949.7552,5622.396931,648482.8772,255072.7183,320864.8663
"FT02867",1344.591789,995.1972848,504.4909035,4243.939825,1002.681941,2534.72978,3164.867999,7382.474847,564.3762103,NA,2617.482372
"FT02868",NA,NA,NA,799744.9383,NA,NA,NA,83.74049056,NA,NA,4187.872877
"FT02869",NA,NA,NA,NA,NA,NA,377.8188587,NA,NA,NA,3046.398078
