"","x"
"2110",4
"2111",4
"2112",13
"2113",0
"2114",0
"2115",0
"2116",13
"2117",0
"2118",0
"2119",0
"2120",1
"2121",0
"2122",0
"2123",0
"2124",1
"2125",7
"2126",1
"2127",0
"2128",0
"2129",0
"2130",0
"2131",1
"2132",0
"2133",0
"2134",1
"2135",2
"2136",0
"2137",0
"2138",0
"2139",7
"2140",0
"2141",0
"2142",1
"2143",0
"2144",0
"2145",4
"2146",0
"2147",0
"2148",4
"2149",9
"2150",4
"2151",0
"2152",0
"2153",0
"2154",4
"2155",1
"2156",1
"2157",9
"2158",0
"2159",9
"2160",4
"2161",4
"2162",2
"2163",0
"2164",0
"2165",0
"2166",0
"2167",4
"2168",1
"2169",1
"2170",1
"2171",1
"2172",0
"2173",0
"2174",1
"2175",1
"2176",0
"2177",0
"2178",0
"2179",0
"2180",3
"2181",0
"2182",1
"2183",0
"2184",0
"2185",3
"2186",16
"2187",3
"2188",44
"2189",0
"2190",3
"2191",3
"2192",0
"2193",0
"2194",0
"2195",0
"2196",0
"2197",0
"2198",5
"2199",0
"2200",0
"2201",0
"2202",0
"2203",1
"2204",1
"2205",0
"2206",0
"2207",0
"2208",0
"2209",1
"2210",0
"2211",1
"2212",0
"2213",0
"2214",1
"2215",0
"2216",6
"2217",0
"2218",14
"2219",5
"2220",4
"2221",0
"2222",0
"2223",0
"2224",0
"2225",0
"2226",0
"2227",7
"2228",7
"2229",0
"2230",0
"2231",0
"2232",0
"2233",7
"2234",0
"2235",0
"2236",0
"2237",0
"2238",0
"2239",7
"2240",0
"2241",4
"2242",2
"2243",1
"2244",6
"2245",0
"2246",0
"2247",0
"2248",0
"2249",1
"2250",0
"2251",0
"2252",5
"2253",0
"2254",0
"2255",5
"2256",6
"2257",2
"2258",0
"2259",1
"2260",0
"2261",0
"2262",0
"2263",1
"2264",0
"2265",1
"2266",1
"2267",0
"2268",1
"2269",1
"2270",0
"2271",0
"2272",0
"2273",2
"2274",5
"2275",1
"2276",0
"2277",0
"2278",0
"2279",0
"2280",1
"2281",0
"2282",1
"2283",0
"2284",2
"2285",3
"2286",0
"2287",0
"2288",4
"2289",4
"2290",4
"2291",4
"2292",4
"2293",0
"2294",0
"2295",4
"2296",4
"2297",4
"2298",4
"2299",4
"2300",4
"2301",4
"2302",4
"2303",4
"2304",4
"2305",4
"2306",4
"2307",0
"2308",4
"2309",4
"2310",4
"2311",0
"2312",4
"2313",4
"2314",4
"2315",4
"2316",4
"2317",4
"2318",4
"2319",4
"2320",4
"2321",4
"2322",4
"2323",0
"2324",4
"2325",4
"2326",4
"2327",4
"2328",4
"2329",4
"2330",4
"2331",4
"2332",4
"2333",4
"2334",4
"2335",4
"2336",0
"2337",0
"2338",4
"2339",6
"2340",6
"2341",4
"2342",1
"2343",0
"2344",0
"2345",0
"2346",0
"2347",1
"2348",2
"2349",1
"2350",0
"2351",0
"2352",1
"2353",1
"2354",4
"2355",2
"2356",7
"2357",0
"2358",1
"2359",4
"2360",0
"2361",0
"2362",23
"2363",0
"2364",0
"2365",0
"2366",1
"2367",0
"2368",4
"2369",1
"2370",0
"2371",0
"2372",5
"2373",0
"2374",0
"2375",0
"2376",0
"2377",0
"2378",0
"2379",3
"2380",8
"2381",2
"2382",0
"2383",8
"2384",2
"2385",0
"2386",0
"2387",4
"2388",2
"2389",0
"2390",1
"2391",0
"2392",0
"2393",1
"2394",0
"2395",6
"2396",0
"2397",0
"2398",0
"2399",0
"2400",0
"2401",0
"2402",0
"2403",1
"2404",4
"2405",0
"2406",5
"2407",0
"2408",0
"2409",0
"2410",0
"2411",0
"2412",0
"2413",0
"2414",0
"2415",9
"2416",0
"2417",0
"2418",0
"2419",0
"2420",32
"2421",0
"2422",0
"2423",6
"2424",0
"2425",0
"2426",9
"2427",0
"2428",4
"2429",0
"2430",0
"2431",0
"2432",0
"2433",3
"2434",3
"2435",3
"2436",0
"2437",1
"2438",0
"2439",0
"2440",0
"2441",0
"2442",1
"2443",0
"2444",8
"2445",0
"2446",2
"2447",1
"2448",1
"2449",0
"2450",0
"2451",1
"2452",13
"2453",1
"2454",0
"2455",0
"2456",1
"2457",0
"2458",0
"2459",0
"2460",0
"2461",4
"2462",0
"2463",0
"2464",0
"2465",1
"2466",0
"2467",0
"2468",0
"2469",0
"2470",0
"2471",0
"2472",0
"2473",0
"2474",0
"2475",0
"2476",0
"2477",12
"2478",0
"2479",0
"2480",0
"2481",0
"2482",0
"2483",45
"2484",0
"2485",14
"2486",0
"2487",0
"2488",0
"2489",0
"2490",0
"2491",0
"2492",0
"2493",0
"2494",0
"2495",0
